노래명	장르명	BPM	alias-1	alias-2	memo
合体せよ！ストロングイェーガー!! (Ryu☆ remix)	HARD DANCE	155	스트롱예거리믹스		
君のハートにロックオン	トレンディーフュージョン	260	너의하트에록온		
命の標本	STRANGE WORLD MUSIC	183	생명의 표본		
唱	J-POP	132	춤		
嘆きの樹	CONTEMPORARY	160	한탄수		유튜브로 패턴 숙지 추천
夏の匂い。キミの残像。 ft. Kanae Asaba	Re 90's J-DANCE POP	161	여름냄새		
夏色DIARY -L.E.D.-G STYLE MIX-	HAPPY SUMMER CORE	190	여름일기		
夏色のセレナーデ	OMOIDE CORE	175	여름빛세레나데		
夏風邪デスコ	SUMMER POP	165	여름감기데스코		
夕焼け ~Fading Day~	AURAL ADRENALINE	174	석양		
多極性ニューロンの崩壊による人間の末路	PROGRESSIVE METAL	165	다극성뉴런		
夜のサングラス	METAL HOUSE	125	밤의선글라스		
夢縁	JUVENILE PIANO ROCK	162	몽연		
天使のカンタータ -Cantata of Angels-	ANTHEM	158	칸타타		
天国のキッス ～D.J.TAKA'S STYLE～	EURO TRANCE	150	천국의키스		
天泣	PROGRESSIVE	150	천읍		
天空の夜明け	ANTHEM	150	천공의 새벽		
天空脳番長危機十六連打	RAGE AGAINST EMPRESS	150	천공뇌번장		
天邪鬼	HARD DANCE	155	아마노자쿠		
太陽～T・A・I・Y・O～	CYBER J-EURO	155	태양		
太陽SUNSUNボンジュールアバンチュール	PIECED SUNDAY	140	태양상상		
好吃来世deエレクトリック	ALTERNATIVE	144	하오츠라이세		
妖隠し -あやかしかくし-	DRUM'N'WALTZ	85	아야카시쿠시		
子供の落書き帳	PROGRESSIVE	280	아이들의 낙서장		
寝起きヤシの木	IIDX EDITION	160	기상야자수		
少女アリスと箱庭幻想コンチェルト	空想ファンタジーシリーズ	134	소녀앨리스		
少年は空を辿る	ムラクモ	140	무라쿠모		
少年リップルズ	EMOCTRO	210	소년리플즈		
山岡晃の「クイズ！家事都合！」	ポップス	148	야마오카퀴즈		
幻想系世界修復少女	J-POP	193	세계수복소녀		
弾幕信仰	HARD ORIENTAL	170	탄막신앙		
忍恋花	忍歌	189	인연화		
恋する☆宇宙戦争っ!!	HI-BLEEP	200	우주전쟁		레겐더리아 체력조심
恋はどう？モロ◎波動OK☆方程式！！	理系ポップ	128	하동방정식		
恋は白帯、サンシロー	KANA-POP	175	산시로		
恋愛レボリューション21 -秋葉工房mix-	EUROBEAT	158	연애레볼루션		
恋愛観測	HAPPY LOVEGAZER	188	연애관측		
情熱タンデムRUNAWAY	爆走EUROBEAT	177	정열탠덤		
惑	ASIAN CROSSOVER	110	미혹		
惑星☆ロリポップ	ANIMTRIBE POP	180	행성롤리팝		
愛しくてラヴィンユー ft. マナ	EURO BEAT	152	사랑스러워러빙유		
愛包ダンスホール	J-POP	142	사랑파이 댄스홀		
打打打打打打打打打打	JAPANESE TRADITIONAL	156	10타		
抱きしめてモナムール	Hi-歌謡コア	190	모나무르		
摩天楼	VAHALLASTEP	172	마천루		
断罪の一花	J-POP	185	단죄의 일화		
新時代	IIDX EDITION	175	신시대		
旅人リラン	ELECLORE	155	여인 리란		
旋律のドグマ ～Misérables～	JUVENILE DRUM'N'BASS	192	선율의 도그마		
昏き甲鉄のヴェルガ	FANTASIA	174	어두운강철베르가		
星をこの手に	J-POP	165	별을이손에		
星屑ディスタンシア	GLITCH JAZZ	110	별무리디스탄시아		
昭和企業戦士荒山課長	テクノチョップ	132	아라야마과장		
時空トラベローグ	TIME TRIP JAZZ	234	시공 트라벨로그		
晴天Bon Voyage	スウィートロニカ	230	청천본보야지		
曼荼羅恋々	GOTHIC CORE	198	만다라연련		
月とミルク	CHIPBREAK POP	190	달과 우유		
月と夢の跡 ft. マナ	J METAL×DANCE POP	160	달과꿈의흔적		
月下繚乱	CYBER YAMATO	170	월하요란		
月光	J-EUROBEAT	155	월광		
朧	FASCINATION	149	오보로		
未完成ノ蒸氣驅動乙女	ORBITAL STEAMPUNK	170	미완성의 증기구동소녀		
未来のプリズム	STARPOP	132	미래의 프리즘		
朱と碧のランページ	ANIMA SONG	178	붉음과 푸름의 램페이지		
東京神話	ORBITALIC GABBER STEP	196	동경신화		레겐더리아 나오면 요주의패턴
果たせぬ約束 ft. 小林マナ	CHINA SQUARE DANCEPOP	164	못다한약속		
栄冠のカンパネラ	TRIUMPHAL MARCH	185	영관의 카마넬라		CHARGE 조심
梅雪夜	想歌 梅	167	매설야		
楽園追放	ALTERNATIVE	239	낙원추방		
次葉 -turn the page-	POP ROCK	152	다음페이지		
死神自爆中二妹アイドルももかりん(1歳)	電波METAL	210	모모카린		
残像ニ繋ガレタ追憶ノHIDEAWAY	HYPER DIG!ROCK	160	잔상하이드어웨이		
水上の提督(Short mix from "幻想水滸伝V")	WORLD/ELECTRONICA	140	수상의제독		
水無月の雫 ft. 小林まな	-和- EURO TRANCE	167	미나즈키물방울		
水鏡の異界	JAPANESE TECH BREAKS	168	수경의 이계		
泰東ノ翠霞	JAPANESE POPS	180	태동의취하		
津軽雪	MICHINOKU	160	진경설		
流桜ノ門	SCI-FI CHRONICLE	172	유앵의문		
海神	HYDRO CORE	159	해신		CHARGE 조심
消極的セツナイズム	ROCK	145	소극적세츠나이즘		
涙のテ・エストラーニョ・ムーチョ	Hi-歌謡タンゴ	187	눈물의테에스트라뇨		
深愛のリグレット	PIANO J TRANCE POP	145	심애의리그렛		
深淵に捧ぐレクイエム	CYBER REQUIEM	175	심연에 바치는 레퀴엠		CHARGE 조심
湘南ロンリーMIDNIGHT RAIN	歌謡ニューウェーブ	165	쇼난론리		
灼熱 Lost Summer Dayz	DRUM'N'BASS	168	작3		
灼熱 Pt.2 Long Train Running	BROKEN SAMBA BREAK	165	작2		SCRATCH 조심
灼熱Beach Side Bunny	BROKEN SAMBA BREAK	153	작열		SCRATCH 조심
灼熱Beach Side Bunny (Masayoshi Iimori Remix)	NRG	150	작열마사요시		
灼熱Beach Side Bunny (かめりあ's "Summertime D'n'B" Remix)	BROKEN SAMBA DRUM'N'BASS	174	작열리믹		
炸裂！イェーガー電光チョップ!! (JAEGER FINAL ATTACK)	HARDSTYLE	159	예거전광찹		
烽火連天の刃	CYBER TAIGA	190	봉화연천의 칼날		CHARGE 조심
焔極OVERKILL	HARDCORE	192	염극오버킬		
無双	SENGOKU LEGENDS	180	무쌍		
無意識のフィロソフィア	HARD TRANCE	160	무의식철학		
焱影	HIP HOP	136	히카게		
煉獄コンフィチュール	ROCK	236	연옥콩피튀르		
煉獄のエルフェリア	HARD SYMPHONIC	183	연옥의 엘페리아		
爆ゼニ☆がってんワーカー	勤労☆電波	195	폭제니워커		
爆ぜりゃんせ	繚乱呂句	172	하제리얀세		
牧神笛吹きて	ZODIAC ORACLE X	157	목신피리		
犬に雨傘	FRENCH POP	240	개에우산	이누니아메가사	
狂イ咲ケ焔ノ華	Hi-GOTH	206	불사조프림		
狂水一華	STYLISH CROSSOVER	160	광수일화		
獅子霞麗ノ舞	DRAMATIC WALTZ	100	사자하례의춤		
生きるよすが	J-POP	252	살아갈 실마리		
異心前進♪ぴょんぴょんぴょん	EUROBEAT	170	이심전진		
疾風迅雷	ORIENTAL CORE	180	질풍신뢰		레겐더리아 PEAK 특히 조심
白露の風	想歌 風	166	백로의바람		
百恋ラブラスター	KAWAII POP	160	백련러브래스터		
真 地獄超特急 -HELL or HELL-	新世紀進歩的羽扇子音楽	165	진 지옥 초특급		
真夏の花・真夏の夢	HOUSE	130	한여름의꽃꿈		
真夜中のバベル	HOUSE	140	한밤의바벨		
眠りの国のステラ	空想ファンタジーシリーズ	193	잠의나라스텔라		
神っぽいな	IIDX EDITION	142	신같네		
神のシナリオ	MELODIC DUBSTEP	140	신의 시나리오		CHARGE 조심
神様、つれない。	ALTERNATIVE	140	카미사마츠레나이		
神謳 -RESONANCE-	Hi-MYTH	180	신구레조		
禊	HARD PSY TRANCE	160	미소기		
禍根	ORBITAL FUTURE BASS	170	화근		
突撃！ガラスのニーソ姫！	電波	185	돌격! 유리의 니삭스 공주		
童話回廊	空想ファンタジーシリーズ	262	동화회랑		
紅牡丹	J-CORE	181	베니보탄		
紅蓮華	IIDX EDITION	135	홍련화	Gurenge	
純真可憐デザイア	EMOTIONAL ROCK	182	순진가련데자이어		
紫陽花 -AZISAI-	ORIENTAL TECHDANCE	155	자양화		
累乗のカルマ	PIANO ROCK	178	거듭제곱의 카르마		
終末を追う者	JUDGMENT	185	종말추노		
繚乱ヒットチャート	ネガメロック	192	요란히트차트		
罠	DRUM'N'ROCK	180	함정		
罪と罰	HYPER J-POP	144	죄와벌		
翼	J-TRANCE	148	츠바사		
色を喪った街	GREY DISTRICT	166	색잃거		
花吹雪~IIDX LIMITED~	JAPANESE ALTERATION	150	하나후부키		
草原の王女 -軌跡を辿って-	JOURNEY SCENE	142	초원의왕녀		
華爛漫 -Flowers-	HYPER JAPANESQUE 2	160	화란만		
華蝶風雪	ASIAN MIXTURE	199	화접풍설		
蒼い衝動	J-TRANCE	145	푸른 충돌		
虹色	LOVELY TRANS POP	160	무지개색		
虹色の花	LIGHT-VISUAL POP	170	무지개꽃		
蛇神	ORIENTAL MYTHOLOGY	170	사신		CHARGE 조심
表裏一体！？怪盗いいんちょの悩み♥	Hi-FUNK BREAKS	165	괴도위원장의고민		CHORD 조심
衰色小町メランコリア	NEO CLASSICAL DANCE	139	쇠색코마치		
見習い天使と星降りの丘	空想ファンタジーシリーズ	174	견습천사		
超!!遠距離らぶ♡メ〜ル	乙女EDM	130	초원거리러브메일		
超青少年ノ為ノ超多幸ナ超古典的超舞曲	PIECED EUPHORIA	150	초청소년		
踊	J-POP	128	Odo		
踊る！福神漬 (CALCUTTA)	INDIE EURO / DANCE	138	CALCUTTA		
輪廻の鴉	SPIRITUAL CORE	198	윤회의까마귀		
轟け！恋のビーンボール！！	ベースボールヒロイン	180	울려라! 사랑의 빈볼		
追想快晴テーマパーク	FUTURE E-POP	170	추상쾌청		
逆月	JAPANESQUE	280	역월		
進捗ダメダメです	J-POP	156	진척안돼요		
酔いどれ知らず	IIDX EDITION	115	요이도레		
野球の遊び方 そしてその歴史 〜決定版〜	野球のことがよくわかる	150	야구놀이법		
量子の海のリントヴルム	エピックプログレ	280	양자바다		
金野火織の金色提言	音ゲー賛美歌	225	콘노히오리의 금빛제언		
鉄甲乙女 -under the steel-	IRON CONCERTO	160	철갑소녀		
錬成人間トリコロイダー	特撮ハードコア	190	연성인간트리콜로이더		
鏡像都市	CYBER METROPOLIS	160	거울상도시		
閃と雷管とロープ	PIANO ROCK	165	섬과 뇌관과 로프		
閉塞的フレーション	ROCK	176	폐쇄적 플레이션		
開きたまえ！Next stAge！	CHARACTER SONG	200	열려라넥스테이지		
閠槞彁の願い	DARKSTEP	180	윤롱가		
陽炎	POP	140	아지랑이		
隅田川夏恋歌	A.I.デイトポップ	180	스미다가와		
雨のちパノラマセカイ	SUNNY SKY	178	파노라마 세계	아메노치파노라마	
雪月花	HARD HOUSE	151	설월화		
零 -ZERO-	HYPER J-POP ZERO	180	제로		
雷君	EDGE	181	라이쿤		
電人、暁に斃れる。	NU-NRG	165	전인 새벽에 쓰러지다		
電人イェーガーのテーマ (Theme of DENJIN J)	NU-NRG	155	전인예거		
電光	BUCHIAGE TRANCE	165	전광		
電子になりたい	HYBRID DANCE MUSIC	158	전자가되고싶어		
電腦都市	BREAKCORE	240	전뇌신화		
霧幻メモリア	LAST FRONTIER	150	무환메모리아		
青の洞窟	AQUARIUM QUARTERSTEP	175	푸른 동굴		
響花水月	HEROIC DRUM & BASS	180	향화수월		
駅猫のワルツ	にゃんコア	282	역고양이	역껄룩	
高高度降下低高度開傘	SYMPHONIC TECHNO	150	고고도저고도		
鬼天	ASURA TEK CORE	161	귀천		
鬼言集	INDUSTRIAL REVIEW	250	귀언집		
魅惑のYUMMYスイーツ	TWINKLE POP	208	매혹의 YUMMY SWEETS		
鴉	CROSSBREED	190	까마귀		
麗 ~うらら~	WINTER GLOW	155	하루 우라라		
黎明の情	歌謡エレジヰ	210	여명의정		
黒紅掬い	SHOWA RETRO	104	흑홍건지기		
黒髪乱れし修羅となりて	撫子メタル	150	흑발수라		
龍と少女とデコヒーレンス	EPIC TECHNO	165	용소녀		
龍王の霊廟(Mausoleum Of The Primal Dragon)	RETROSPECTIVE EPIC MUSIC	144	용왕영묘		
