노래명	장르명	BPM	alias-1	alias-2	memo
AMRITA -不滅ノ花-	ORIENTAL TRANCE	152	암리타		
ANAGMA	PSY TECH DANCE	150			
ANAGRAMS I to Y	DANCE POP	180			
ANCHOR	STYLISH CROSSOVER	180	앵커		
Ancient Scapes	DYNASTIC FREEFORM	178			
And-RoiD	J-POP	173			
ANDROMEDA	PSYCHEDELIC GOA TRANCE	150			
ANDROMEDA II	PSYCHEDELIC SYNTH TRANCE	150			
ANEMONE	EMOTIONAL J-POP	174			
Angel's Ladder	PIANO TECH	155			
Angelic Jelly	HAPPY で HARDCORE	200	엔젤릭 젤리		마지막 부분에 랜덤걸면 지옥같은 배치가 나올 수 있다. R-RANDOM 추천
Angels & Demons	DRUM & BASS	174			
Anisakis-somatic mutation type "Forza"-	HARD RENAISSANCE	185	킈에에엥		
Answer	STARPOP	156			
ANTHEM LANDING	LATIN TEK	151			
anthracene	HYPER EUROBEATECHNO	175			
Antigravity	HARDCORE DANCE SPEED	222	반중력	안티그래비티	가변 현지인이면 돌리고 노트치고 돌리고 노트치고 ㄱㄱ
AO-∞	DANCE SPEED	191	AO-infinity		
AO-1	DANCE EXPRESS	195	아오이치		
apo:llioth	HARDCORE	200			
Apocalypse	EPIC D'N'B	165			
Apocalypse ~dirge of swans~	ORATORIO	170			
Aqvion	AQUATIC TECHCORE	175			
Arabian Rave Night	ARABIC HARDCORE	180			
Arca	GENESIS	185			
Arcana	UPLIFTING TRANCE	143			
Arcanos	NOSTALGIC ARTCORE	96			
Ariah	UNSUNG REQUIEM	198			
Arkadia	FREEFORM HARDCORE	180			
Around the Future	CYBERCORE	162			
Around The Galaxy	UPLIFTING TRANCE	145			
Artist	MYSTICAL HARD DANCE	165			
As You Want	CYBER LIQUID FUNK	177			
Ascalon	ELECTRO POP	185			
ASIAN VIRTUAL REALITIES (MELTING TOGETHER IN DAZZLING DARKNESS)	BIG BEAT	150	가상현실		초견살 조심. 유튜브로 채보 꼭보고가야함
Astra Blaze	DRUMSTEP	168			
ASTRAL VOYAGE	DREAM TECHNO	136			
ATOMIC AGE	ENSEMBLE	130			
Atröpøs	NEUTRONIKA	182			
Attitude	TRANCE	145			
Aublia	POST J-TRADITIONAL	156			
Aurora	TRANCE CORE	181			
AVE DE RAPINA	ALTERNATIVE HOUSE	125			
awakening	TRANCE	143			
ay carumba!!!!	NUSTYLE GABBA	180			
B.O.D.Y.	HARD BODY MUSIC	157			
B4U	SPEED RAVE	155			
B4U(BEMANI FOR YOU MIX)	RECKLESS RAVE	155			CHORD 조심
BabeL ~Grand Story~	SPIRAL STAIRS	163	부타바벨		
BABY LOVE	ITALO POP	160			
Back Into The Light	2STEP POP TRANCE	144			
Back Into The Light -Feelings Won't Fade Vocal Mix-	TRANCE	144			
Back Spin Sweeper	WAGON WHEEL TRANCE	155			
Back to the Dance Floor	TRIBAL LOUNGE	126			
Backyard Stars	FUTURE BASS	175			
BAD BOY BASS!! (dj Remo-con MIX)	NRG	148			
Bad Encryption	NEO INDUSTRIAL	200			
Bad Maniacs	INDUSTRIAL	195	배매니		배멘퀠의 배
Bad Routine	FILTER HOUSE	130			
bag	SPIRITUAL	65			
Bahram Attack -猫叉Master Remix-	HOUSE	155	발암어택		
BALLAD FOR YOU 〜想いの雨〜	BALLAD	65	발라드포유		
BALLAD THE FEATHERS	CELTIC REEL	132			
Bang Bang Dance	HARD DANCE	156			
Bang-Boo Bumble	BANGIN' TECHNO	165			
Banger Banger Banger Banger	EARLY RAVE	190			
bass 2 bass	BUBBLEGUM DANCE	140			
Battle Train -IIDX Edition-	HARD DANCE	160			
Battleground	SCHRANZ	165			
BattleRoyal	DUBSTEP	150			
Be a Hero!	DIGITAL THRASH PUNK	190			
Be A Star	ALTERNATIVE TECHNO POP	174			
Be OK	EUROBEAT	148			
Be quiet	HARD DANCE	150	비콰이엇		
Be Rock U (1998 burst style)	ULTRA ROCK BEAT	150			
Beast mode	SPEED EURO	195			
Beastie Starter	SPEEDCORE	190	비스티		후살 특히 조심
BEAT PRISONER	PRIME BIG BEAT	155			CHARGE 조심
Beat Radiance	NEO CLASSICAL DANCE	192			CHORD 조심
beatAffection	BEAT MUSIC	190			
beatchic☆仮面 ~好き、でいさせて~	E-DANCE POP	175	비트시크가면		
beatonic nation	TECH-TRONICA	165			
BEAUTIFUL ANGEL	DRUM'N'BASS	172			
Beautiful Harmony (IIDX Mix)	PROGRESSIVE TRANCE	135			
Begin	PSY-TRANCE	170			
Beginning of life	AMBIENT	110			
Beginning of life(THE GROUND PULSE MIX)	TECHNO	140			
being torn the sky	ELECTRO POP	102			
Believe In Me	HARDCORE	170			
Believe in You	HARDCORE RAVE	175			
BEMANI PRO LEAGUE Theme	BPL EDM	134			
Best of Me	CYBER LIQUID FUNK	177			
Beyond Evolution	CULMINATION	185	비요에보		PEAK 조심, 채보 숙지 필수, 하이퍼도 빡셈
Beyond The Earth	WORLD/ELECTRONICA	140			
Beyond The Seven	TRANCE	142			
BIGWAVERS	EMOTIONAL HARDCORE SUMMERS	177			
BIGソムタム	DRUM STEP	187	빅솜탐		
Binary Black Hole	BLACK OUT	190	바이너리 블랙홀		PEAK 조심, 유튜브에서 배치 숙지
Biometrics Warrior	RAGGACORE	215			
bit mania	テクノ歌謡	160			
BITTER CHOCOLATE STRIKER	JUMPSTYLE	165	비터쵸코		
Black Apple	ELEGANT MODERN ROCK	174			
BLACK JACKAL	DANCE MUSIC	150			
BLACK or WHITE?	SYMPHONIC SPEED SCHRANZ	185	블올화		
BLACK.by X-Cross Fade	TECH-BREAKBEATS	163	블랙바이		SCRATCH 특히 조심
Blame	EUROBEAT	155			
Blaze it UP!	HARDCORE RAVE	175			
BLAZING_LAZER	BURNING RAVE	191	블레이징레이저		
Bling-Bang-Bang-Born	IIDX EDITION	157			SCRATCH 조심
BLO§OM	BLOOM TRANCE	158			
BLOCKS	TRANCE	141			
Bloody Tears(IIDX EDITION)	HARD RENAISSANCE	170			
bloomin' feeling	HAPPY HARDCORE	181	블루민 필링		
Blown My Heart Away	80's EUROBEAT	124			
Blue Bird feat. Kanae Asaba	LATIN FUSION POP	134			
