노래명	장르명	BPM	alias-1	alias-2	memo
EDEN	HYPER J-POP SIX	200			
Egret and Willow	FUTURE BEATS	196			
Eine Haube 〜聖地の果てにあるもの〜	VELLUM	170			
Eleanor	UNNAMED FIESTA	208			
ELECTRIC MASSIVE DIVER	GABBA	178			
Electric Super Highway	ELECTRO	139			
Electrified	ELECTRO	140			
Electro Tuned (the SubS mix)	BIG BEAT	125			
Elektrick U-Phoria	UK HARDCORE	180			
Element of SPADA	HEALING POP	170			
elemental bender feat. Kanae Asaba	EDM	135			
Elemental Creation	HARD RENAISSANCE	212			
Elisha	TRANCE CORE	185			
ELYSIUM	RANDOM ACCESS MEMORIES	183			
Ember Lights	FUSION TRANCE	148			CHARGE 조심
Emera	EDM STYLE	161			
EMERALDAS	IRREGULAR DJENT STEP	88–176			
EMOTiON TRiPPER	ELECTRIC POP	170			
Empathetic	DRUM STEP	180			
empathy	DRUM'N'BASS	170 85–170			
Empire of Fury	JUNGLE TERROR	204			
Empire State Glory	CYBERPUNK	173			
EMPTY OF THE SKY	E-ROCK	182			
encounter	DRUM'N'BASS	190			
END OF THE CENTURY	DANCE SPEED	170			
end of world	FRENZY HOUSE	162			
Endless Summer Story	JAPANESE REGGAE	95			
Energy Drive	HARDCORE	170			
Engraved Mark	HAPPY SAD CORE	188			
Enjoy your life	ELECTRONICA	160			
entelecheia	SACRED TRANCE	185			
entrance	TECHNO	180			
era (nostalmix)	DRUM'N'BASS	90–180			
ERaSeR EnGinE DistorteD	HARDCORE	177			
eRAseRmOToRpHAntOM	HARDCORE	135–270			
Ergosphere	亜空間ジャズ	170			
EROICA	VERSE	200			PEAK 조심
Erosion Mark	FALLIN APART CORE	192			
esrev:eR	EMOTIONAL SENTENCE	155			
Estella	SPANISH WALTZ	114			
Eternal Tears	WINTER BALLADE	84			
Euphoric Lagoon	J-DANCE FUSION	149			
EURO-ROMANCE	80's TECHNO	161			
EVANESCENT	PROGRESSIVE ROCK	127–165			
Evans	HARD RENAISSANCE	185			
evergreen	PROG	133			
Everlasting Last	J-DANCE POP	140			
Everlasting Message	EPIC ORCHESTRA	230			
Everlasting Resort	ONLY ONE ANTHEM	148			
everlastingeuphoria:	HYPERTRANCE	165			
EVO66	TECHNO	135			
ЁVOLUTIΦN	PLATINUM JAPANESQUE	165			
EX-MASSIVE FIGHTER	HYBRID HARDSTYLE	165			
examination leave	VACATION DANCE	180			
Exchange Place	FUTURE JERSEY	142			
EXCITE	IIDX EDITION	151			
EXE	ELECTROSHOCK	158			
Exhaust Hype	HARD BASS HOUSE	147			
EXODUS SIGN	TEAROUT BREAKS	150			
Expanded !!	MIDDLE EASTERN TWERK	200			
Express Emotion	J-CORE	182			
Explorer feat. ぷにぷに電機	DANCE POP	131			
EXTREMA PT.2	TECH DANCE	142			
EXTREME MACH COLLIDER	TECHNO	148			
EXUSIA	HARDCORE	188			
EYE OF THE HEAVEN	ORBITALIC ELECTRONIC METAL	308			
EZ DO DANCE	IIDX EDITION	140			
F	RENAISSANCE	154			
Fading Stars	TRANCE	148			
fairy cocktail	エレクトロニック/エレクトロニカ/ポップ	134			
FAKE STYLE II	DANCE MUSIC	125			
FAKE TIME	HARD ROCK	200			
fallen leaves -IIDX edition-	WORLD/ELECTRONICA	165			
Fantasia	HYPER FANTASIA	165			
Fantastic Merry-Go-Round	DIGITAL POP	168			
FANTASTIC THREE	DUB COMEDY	185			
Far east nightbird	DRUM'N'BASS	180			
Farewell to Marrakech	MOROCCAN CROSSOVER	144			
Fascination MAXX	SuperNOVA BEAT	100–400			SOFLAN 조심
Fashion Fruit	STAR☆FRUIT	165			
Feedback	BREAK BEATS	140			
FEEDING FRENZY	HI-TECH PSYSTYLE	181			
FEEL IT	DRUM'N'BASS	180			
Feel The Beat	HARDCORE RAVE	175			PEAK 조심
Fegrix	EURO BEAT	175			
FERMI♡PARADOX	COSMIC HAPPY TUNE	179			
Fervidex	ARTCORE	191			
FESTA DO SOL	LATIN GROOVE	130			
ƒƒƒƒƒ	HARD Pf	138			
Fiery Stallion	80'S SYNTHWAVE ROCK	160			
Final Count Down(MTO CRY BABY STYLE)	METALLIC EURO	164			
FINALLY BLAZE	ENERGETIC HARDCORE	185			
FIRE BALL	SPEED STAR	188			
Fire Beat	Experimental Eurobeat EXPERIMENTAL EUROBEAT	157–300			
FIRE FIRE	BUCHIAGE TRANCE	150			
First Resolution	TECHNO RAVE	150			
Five Regrets	JAZZ ARGENTINO	144			
fixer	DOUBLE DRIVE	75–215			
FiZZλ_PØT!0И	超炭酸すぱしゃわコア	187			
Flämingo	PASSIONATE RAVE	189			
FLARE -炎舞- ft.Nana Takahashi	BPL S3 THEME	140			
Flash Back 90's	MEGA MIX	155			
Flashes	DRUM'N'BASS	180			
Flip Flap	CANDY HANDZ UP	175			
FLOWERS for ALBION	AMBIENT	70–93			
FLUTE MAN	DEEP HOUSE	165			
Fly Above	DREAM TRANCE	150			
Fly Away To India	DANCE POP	133			
fly through the night	TRANCE	140			
Fly you to the star	HANDZ UP	141			
Fly Away	HARD DANCE	160			
Flying Castle	COLOUR CORE	174			
Follow Tomorrow	J-DANCE POP	140			
foreplay	PROGRESSIVE JAZZ	140			
Forgetting Machine	DRUM'N'BASS	174			
Foundation of our love	TRANCE	140			
four pieces of heaven	JUNGLE	125–195			
four-leaf	ROCK	157			
Fractal	CYBER PROGRESSIVE	175			
Free Style	DANCE POP	132			
FREEDOM	HYPER DUBSTEP	150			
Freeway Shuffle	TRANCE	145			
Freezing atmosphere	NATURAL SOUND	135			
frequent	MUSIC GAME TRADITIONAL	176			
Friction[!]Function	PROGRES BEAT	150			
Frisk And Squeak	MAKINA	185			
From Human Blood	ORBITALIC METAL STEP	170			
From Time To Time	TECH HOUSE	140			
fun	FUNK SHUFFLE	100–200			
Funny Shuffle	JAG GLITCH	115			
FUTURE is Dead	HOLIC	110(N,H) 110–220(A)			
FUZIN RIZIN	HYPER DIGIMETAL	190			
G2	DRUM'N'BASS	170			
G59	EXPERIMENTAL MUSIC	170			
GAIA	SPEED DANCE	180			
Galaxy Collapse	MULTIGENRE	156			
GALGALIM	HARDCORE TECHNO	165			
GAMBOL	BIG BEAT	102			
Game Changers	HARD MIXTURE	105–210			
GAME ON	MIXTURE	105			
Ganymede	ESOTERIC SLOWCORE	72–82			
garden	SWING WALTZ	220			
Garuda	JUKE/FOOTWORK	160			
Geirskögul	CYBER DRUMSTEP	177			
GENE	TECHNO GRAFFITI	163			
General Relativity	UK GARAGE/2-STEP	142			
GENERATE feat.綾倉盟	ELECTRONIC DANCE	145			
GENOCIDE	DRUM'N'BASS	175			
gentle stress	DRUM'N'BASS	175			
Get Higher	ADVENTURE TRIP	170			
Get on Beat	HARD BAG	126			
GET ON BEAT (WILD STYLE)	HARD HOUSE	150			
Get On Your Feet	HYBRID TRANCE	155			
Get Out	ELECTRO	130			
GET READY!!	HARDCORE RAVE	88–175			
